charger_id,charger_type,power_kw,sockets,playa,daily_energy_kwh,peak_power_kw
MOTO_CH_001,Level2_MOTO,7.4,1,Playa_Motos,23.91964285714286,3.1712353325412868
MOTO_CH_002,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.2099339875560076
MOTO_CH_003,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142858,3.1601430887658704
MOTO_CH_004,Level2_MOTO,7.4,1,Playa_Motos,23.91964285714285,3.110723873667308
MOTO_CH_005,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.2526824900989606
MOTO_CH_006,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.2289964604718797
MOTO_CH_007,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.165964265582344
MOTO_CH_008,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142858,3.2246209992362873
MOTO_CH_009,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.130144310559686
MOTO_CH_010,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142858,3.1835791716747606
MOTO_CH_011,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142858,3.2232358191384347
MOTO_CH_012,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.176294270177558
MOTO_CH_013,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142858,3.110285238197023
MOTO_CH_014,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.251593610312352
MOTO_CH_015,Level2_MOTO,7.4,1,Playa_Motos,23.91964285714286,3.124287264193082
MOTO_CH_016,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.166731053438114
MOTO_CH_017,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142858,3.1164320113521784
MOTO_CH_018,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.0359820058408515
MOTO_CH_019,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.046068118954601
MOTO_CH_020,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.28489764393389
MOTO_CH_021,Level2_MOTO,7.4,1,Playa_Motos,23.919642857142854,3.1819152344859516
