time,hour,day,month,soc_kwh,soc_pct
2024-01-01 00:00:00,1,1,1,490.0,28.823529411764703
2024-01-01 01:00:00,2,1,1,170.0,10.0
2024-01-01 02:00:00,3,1,1,170.0,10.0
2024-01-01 03:00:00,4,1,1,170.0,10.0
2024-01-01 04:00:00,5,1,1,170.0,10.0
2024-01-01 05:00:00,6,1,1,170.0,10.0
2024-01-01 06:00:00,7,1,1,170.0,10.0
2024-01-01 07:00:00,8,1,1,188.62523160389458,11.095601859052621
2024-01-01 08:00:00,9,1,1,513.5252316038946,30.207366564934972
2024-01-01 09:00:00,10,1,1,838.4252316038945,49.31913127081732
2024-01-01 10:00:00,11,1,1,1163.3252316038945,68.43089597669967
2024-01-01 11:00:00,12,1,1,1488.2252316038944,87.54266068258202
2024-01-01 12:00:00,13,1,1,1608.6612615801946,94.6271330341291
2024-01-01 13:00:00,14,1,1,1614.6830630790098,94.98135665170646
2024-01-01 14:00:00,15,1,1,1614.9841531539505,94.99906783258533
2024-01-01 15:00:00,16,1,1,1614.9992076576975,94.99995339162926
2024-01-01 16:00:00,17,1,1,1254.9992076576975,73.82348280339397
2024-01-01 17:00:00,18,1,1,894.9992076576975,52.647012215158675
2024-01-01 18:00:00,19,1,1,534.9992076576975,31.47054162692338
2024-01-01 19:00:00,20,1,1,174.99920765769753,10.29407103868809
2024-01-01 20:00:00,21,1,1,170.0,10.0
2024-01-01 21:00:00,22,1,1,170.0,10.0
2024-01-01 22:00:00,23,1,1,170.0,10.0
2024-01-01 23:00:00,0,2,1,170.0,10.0
2024-01-02 00:00:00,1,2,1,170.0,10.0
2024-01-02 01:00:00,2,2,1,170.0,10.0
2024-01-02 02:00:00,3,2,1,170.0,10.0
2024-01-02 03:00:00,4,2,1,170.0,10.0
2024-01-02 04:00:00,5,2,1,170.0,10.0
2024-01-02 05:00:00,6,2,1,170.0,10.0
2024-01-02 06:00:00,7,2,1,170.0,10.0
2024-01-02 07:00:00,8,2,1,170.0,10.0
2024-01-02 08:00:00,9,2,1,170.0,10.0
2024-01-02 09:00:00,10,2,1,494.9,29.111764705882354
2024-01-02 10:00:00,11,2,1,819.8,48.2235294117647
2024-01-02 11:00:00,12,2,1,958.9650038896551,56.40970611115619
2024-01-02 12:00:00,13,2,1,1045.8800077793103,61.52235339878296
2024-01-02 13:00:00,14,2,1,685.8800077793103,40.345882810547664
2024-01-02 14:00:00,15,2,1,325.8800077793103,19.16941222231237
2024-01-02 15:00:00,16,2,1,170.0,10.0
2024-01-02 16:00:00,17,2,1,170.0,10.0
2024-01-02 17:00:00,18,2,1,170.0,10.0
2024-01-02 18:00:00,19,2,1,170.0,10.0
2024-01-02 19:00:00,20,2,1,170.0,10.0
