charger_id,charger_type,power_kw,sockets,playa,daily_energy_kwh,peak_power_kw
MOTO_TAXI_CH_113,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.747974960366966
MOTO_TAXI_CH_114,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.80591460398923
MOTO_TAXI_CH_115,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.81250000000001,4.731367648017883
MOTO_TAXI_CH_116,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.81250000000001,4.657377177036048
MOTO_TAXI_CH_117,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.81249999999999,4.869917681144804
MOTO_TAXI_CH_118,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.834454946977494
MOTO_TAXI_CH_119,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.740083116554976
MOTO_TAXI_CH_120,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.827904004455673
MOTO_TAXI_CH_121,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.68645346385028
MOTO_TAXI_CH_122,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.81249999999999,4.766456161846757
MOTO_TAXI_CH_123,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.8258301121927065
MOTO_TAXI_CH_124,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.755549204062032
MOTO_TAXI_CH_125,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.6567204518134595
MOTO_TAXI_CH_126,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.868287409840553
MOTO_TAXI_CH_127,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.8125,4.6776842914066625
MOTO_TAXI_CH_128,Level2_MOTOTAXI,7.4,1,Playa_Mototaxis,35.81250000000001,4.741231151676103
