timestamp,hour,day_of_year,soc_arrival_motos_mean,soc_target_motos_mean,soc_current_motos_mean,soc_arrival_mototaxis_mean,soc_target_mototaxis_mean,soc_current_mototaxis_mean,fully_charged_motos,fully_charged_mototaxis,fully_charged_total,vehicles_charging_motos,vehicles_charging_mototaxis,charging_time_motos_min,charging_time_mototaxis_min
2024-01-01 00:00:00,0,1,0.2882021778343097,0.869303522330145,0.2882021778343097,0.26608847560984616,0.9256692338802129,0.26608847560984616,1,1,0,0,0,21.791300418593824,24.73427843513875
2024-01-01 01:00:00,1,1,0.30486631215223736,0.9283425156536123,0.30486631215223736,0.33161566324028846,0.8793700112764048,0.33161566324028846,1,1,0,0,0,23.380357631301557,20.54078805135436
2024-01-01 02:00:00,2,1,0.22822279400577591,0.8370199834921215,0.22822279400577591,0.2546938337301377,0.9314206808934389,0.2546938337301377,1,1,0,0,0,22.829894605737955,25.377256768623795
2024-01-01 03:00:00,3,1,0.20657128456202972,0.8763746226294675,0.20657128456202972,0.21152514933119645,0.8799641503557869,0.21152514933119645,1,1,0,0,0,25.117625177528915,25.06646253842214
2024-01-01 04:00:00,4,1,0.23075284285914333,0.8544387963366451,0.23075284285914333,0.3479218856740423,0.9135708332547838,0.3479218856740423,1,1,0,0,0,23.388223255406313,21.211835534277807
2024-01-01 05:00:00,5,1,0.21590943117143988,0.9303796333154588,0.21590943117143988,0.2770698497422235,0.8666839593694546,0.2770698497422235,1,1,0,0,0,26.792632580400706,22.110529111021165
2024-01-01 06:00:00,6,1,0.3090860215526682,0.89136920839562,0.3090860215526682,0.2693091683716238,0.8609580404258906,0.2693091683716238,1,1,0,0,0,21.83561950661069,22.186832702035005
2024-01-01 07:00:00,7,1,0.3019100785287712,0.8305396047346212,0.3019100785287712,0.21421609263398161,0.858746518540371,0.21421609263398161,1,1,0,0,0,19.823607232719375,24.1698909714896
2024-01-01 08:00:00,8,1,0.2710768555112328,0.9455496071964664,0.2710768555112328,0.23675449823395328,0.856162401794692,0.23675449823395328,1,1,0,0,0,25.292728188196257,23.2277963835277
2024-01-01 09:00:00,9,1,0.2672443736720457,0.8028431451695817,0.2672443736720457,0.2148147325065697,0.9164946973528949,0.2148147325065697,1,1,0,0,0,20.0849539311576,26.312998681737195
