datetime,pv_kwh,ev_kwh,mall_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,grid_to_ev_kwh,grid_to_mall_kwh,bess_charge_kwh,bess_discharge_kwh,soc_percent
2024-01-01 00:00:00-05:00,0.0,65.26534208268107,487,0.0,0.0,0.0,65.26534208268107,487.0,0.0,0.0,50.0
2024-01-01 01:00:00-05:00,0.0,39.070420475843235,646,0.0,0.0,0.0,39.070420475843235,646.0,0.0,0.0,50.0
2024-01-01 02:00:00-05:00,0.0,39.007278962671684,636,0.0,0.0,0.0,39.007278962671684,636.0,0.0,0.0,50.0
2024-01-01 03:00:00-05:00,0.0,39.3030434550783,625,0.0,0.0,0.0,39.3030434550783,625.0,0.0,0.0,50.0
2024-01-01 04:00:00-05:00,0.0,39.185051685043916,622,0.0,0.0,0.0,39.185051685043916,622.0,0.0,0.0,50.0
2024-01-01 05:00:00-05:00,0.0,39.239593930815545,608,0.0,0.0,0.0,39.239593930815545,608.0,0.0,0.0,50.0
2024-01-01 06:00:00-05:00,167.2143549040596,52.744138334487324,619,52.744138334487324,114.47021656957227,0.0,0.0,619.0,114.47021656957227,0.0,52.53252691525603
2024-01-01 07:00:00-05:00,952.805506951468,78.78126073143049,652,78.78126073143049,874.0242462200375,0.0,0.0,652.0,874.0242462200375,0.0,71.86934652189403
2024-01-01 08:00:00-05:00,1629.4000190352165,90.93825922855436,665,90.93825922855436,1271.50553721039,266.956222596272,0.0,398.043777403728,1271.50553721039,0.0,100.0
2024-01-01 09:00:00-05:00,2614.18441944971,130.06922013431924,683,130.06922013431924,0.0,2484.115199315391,0.0,0.0,0.0,0.0,100.0
2024-01-01 10:00:00-05:00,2886.6894777785838,157.78786519400427,708,157.78786519400427,0.0,2728.9016125845797,0.0,0.0,0.0,0.0,100.0
2024-01-01 11:00:00-05:00,2886.6894777785838,144.58198508662812,711,144.58198508662812,0.0,2742.1074926919555,0.0,0.0,0.0,0.0,100.0
2024-01-01 12:00:00-05:00,2886.6894777785838,134.05254600943246,914,134.05254600943246,0.0,2752.6369317691515,0.0,0.0,0.0,0.0,100.0
2024-01-01 13:00:00-05:00,1407.6952566845382,142.99416720210183,1003,142.99416720210183,0.0,1264.7010894824364,0.0,0.0,0.0,0.0,100.0
2024-01-01 14:00:00-05:00,1357.888944350109,156.14965621768636,1017,156.14965621768636,0.0,1201.7392881324226,0.0,0.0,0.0,0.0,100.0
2024-01-01 15:00:00-05:00,1578.0332718828888,169.4178930036071,1037,169.4178930036071,0.0,1408.6153788792817,0.0,0.0,0.0,0.0,100.0
2024-01-01 16:00:00-05:00,873.4389981102496,195.887594629303,1027,195.887594629303,0.0,677.5514034809466,0.0,349.44859651905335,0.0,0.0,100.0
2024-01-01 17:00:00-05:00,179.73766390238518,264.76781014470464,1020,179.73766390238518,0.0,0.0,85.03014624231946,1020.0,0.0,0.0,100.0
2024-01-01 18:00:00-05:00,0.0,261.33975461542457,1058,0.0,0.0,0.0,0.0,1058.0,0.0,261.33975461542457,94.21814702178264
2024-01-01 19:00:00-05:00,0.0,234.60002697301073,1071,0.0,0.0,0.0,0.0,1071.0,0.0,234.60002697301073,89.02788093830894
2024-01-01 20:00:00-05:00,0.0,194.28279967264584,1054,0.0,0.0,0.0,0.0,1054.0,0.0,194.28279967264584,84.72958891015307
2024-01-01 21:00:00-05:00,0.0,157.5160593685107,1009,0.0,0.0,0.0,0.0,1009.0,0.0,157.5160593685107,81.24472034005326
2024-01-01 22:00:00-05:00,0.0,130.50017474108242,911,0.0,0.0,0.0,0.0,911.0,0.0,130.50017474108242,78.35754833250719
2024-01-01 23:00:00-05:00,0.0,104.87606851234625,738,0.0,0.0,0.0,104.87606851234625,738.0,0.0,0.0,78.35754833250719
2024-01-02 00:00:00-05:00,0.0,64.91151639157799,659,0.0,0.0,0.0,64.91151639157799,659.0,0.0,0.0,78.35754833250719
2024-01-02 01:00:00-05:00,0.0,39.29348228484611,604,0.0,0.0,0.0,39.29348228484611,604.0,0.0,0.0,78.35754833250719
2024-01-02 02:00:00-05:00,0.0,39.30026673098977,567,0.0,0.0,0.0,39.30026673098977,567.0,0.0,0.0,78.35754833250719
2024-01-02 03:00:00-05:00,0.0,39.65229630619453,577,0.0,0.0,0.0,39.65229630619453,577.0,0.0,0.0,78.35754833250719
2024-01-02 04:00:00-05:00,0.0,39.139171971007315,588,0.0,0.0,0.0,39.139171971007315,588.0,0.0,0.0,78.35754833250719
2024-01-02 05:00:00-05:00,0.0,39.76998648363261,567,0.0,0.0,0.0,39.76998648363261,567.0,0.0,0.0,78.35754833250719
2024-01-02 06:00:00-05:00,68.20770202924705,52.53538941487256,684,52.53538941487256,15.672312614374484,0.0,0.0,684.0,15.672312614374484,0.0,78.70428091247123
2024-01-02 07:00:00-05:00,298.49403324612945,78.5912448249454,800,78.5912448249454,219.90278842118403,0.0,0.0,800.0,219.90278842118403,0.0,83.56938685099301
2024-01-02 08:00:00-05:00,980.999339150895,91.3298970816817,1168,91.3298970816817,742.663714335116,147.00572773409738,0.0,1020.9942722659026,742.663714335116,0.0,100.0
2024-01-02 09:00:00-05:00,2079.4246595596437,130.640946744079,1412,130.640946744079,0.0,1948.7837128155647,0.0,0.0,0.0,0.0,100.0
2024-01-02 10:00:00-05:00,2886.6894777785838,157.8839119124782,2028,157.8839119124782,0.0,2728.8055658661056,0.0,0.0,0.0,0.0,100.0
2024-01-02 11:00:00-05:00,2886.6894777785838,144.13755350954278,2459,144.13755350954278,0.0,2742.551924269041,0.0,0.0,0.0,0.0,100.0
2024-01-02 12:00:00-05:00,2886.6894777785838,130.86905615726653,2514,130.86905615726653,0.0,2755.820421621317,0.0,0.0,0.0,0.0,100.0
2024-01-02 13:00:00-05:00,1558.8509539256966,144.78359481699002,2546,144.78359481699002,0.0,1414.0673591087066,0.0,1131.9326408912934,0.0,0.0,100.0
2024-01-02 14:00:00-05:00,2184.4023082260496,158.15547204323096,2573,158.15547204323096,0.0,2026.2468361828187,0.0,546.7531638171813,0.0,0.0,100.0
2024-01-02 15:00:00-05:00,1558.7103466248775,170.06216960720036,2565,170.06216960720036,0.0,1388.6481770176772,0.0,1176.3518229823228,0.0,0.0,100.0
2024-01-02 16:00:00-05:00,1105.4315951702931,197.15553695966935,2583,197.15553695966935,0.0,908.2760582106238,0.0,1674.723941789376,0.0,0.0,100.0
2024-01-02 17:00:00-05:00,241.8706750951441,263.0357662153177,2559,241.8706750951441,0.0,0.0,21.165091120173628,2559.0,0.0,0.0,100.0
2024-01-02 18:00:00-05:00,0.0,263.27286996319333,2445,0.0,0.0,0.0,0.0,2445.0,0.0,263.27286996319333,94.1753789831152
