hour,factor,energy_kwh,power_kw,is_peak
0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,False
2,0.0,0.0,0.0,False
3,0.0,0.0,0.0,False
4,0.0,0.0,0.0,False
5,0.0,0.0,0.0,False
6,0.0,0.0,0.0,False
7,0.0,0.0,0.0,False
8,0.0,0.0,0.0,False
9,0.0,0.0,0.0,False
10,0.004286694101508916,1.074074074074074,1.074074074074074,False
11,0.01577503429355281,3.9525925925925924,3.9525925925925924,False
12,0.032407407407407406,8.12,8.12,False
13,0.05212620027434842,13.06074074074074,13.06074074074074,False
14,0.07287379972565158,18.25925925925926,18.25925925925926,False
15,0.09259259259259259,23.2,23.2,False
16,0.10922496570644719,27.367407407407406,27.367407407407406,False
17,0.12071330589849108,30.245925925925924,30.245925925925924,False
18,0.125,31.32,31.32,True
19,0.125,31.32,31.32,True
20,0.125,31.32,31.32,True
21,0.125,31.32,31.32,True
22,0.0,0.0,0.0,False
23,0.0,0.0,0.0,False
