hour,factor,energy_kwh,power_kw,is_peak
0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,False
2,0.0,0.0,0.0,False
3,0.0,0.0,0.0,False
4,0.0,0.0,0.0,False
5,0.0,0.0,0.0,False
6,0.0,0.0,0.0,False
7,0.0,0.0,0.0,False
8,0.0,0.0,0.0,False
9,0.0,0.0,0.0,False
10,0.004286694101508916,1.3127572016460904,1.3127572016460904,False
11,0.01577503429355281,4.830946502057613,4.830946502057613,False
12,0.032407407407407406,9.924444444444445,9.924444444444445,False
13,0.05212620027434842,15.963127572016461,15.963127572016461,False
14,0.07287379972565158,22.31687242798354,22.31687242798354,False
15,0.09259259259259259,28.355555555555554,28.355555555555554,False
16,0.10922496570644719,33.44905349794239,33.44905349794239,False
17,0.12071330589849108,36.96724279835391,36.96724279835391,False
18,0.125,38.28,38.28,True
19,0.125,38.28,38.28,True
20,0.125,38.28,38.28,True
21,0.125,38.28,38.28,True
22,0.0,0.0,0.0,False
23,0.0,0.0,0.0,False
