hour,factor,energy_kwh,power_kw,is_peak
0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,False
2,0.0,0.0,0.0,False
3,0.0,0.0,0.0,False
4,0.0,0.0,0.0,False
5,0.0,0.0,0.0,False
6,0.0,0.0,0.0,False
7,0.0,0.0,0.0,False
8,0.0,0.0,0.0,False
9,0.0,0.0,0.0,False
10,0.004286694101508916,1.3575102880658434,1.3575102880658434,False
11,0.01577503429355281,4.995637860082304,4.995637860082304,False
12,0.032407407407407406,10.262777777777778,10.262777777777778,False
13,0.05212620027434842,16.50732510288066,16.50732510288066,False
14,0.07287379972565158,23.077674897119344,23.077674897119344,False
15,0.09259259259259259,29.322222222222223,29.322222222222223,False
16,0.10922496570644719,34.5893621399177,34.5893621399177,False
17,0.12071330589849108,38.227489711934155,38.227489711934155,False
18,0.125,39.585,39.585,True
19,0.125,39.585,39.585,True
20,0.125,39.585,39.585,True
21,0.125,39.585,39.585,True
22,0.0,0.0,0.0,False
23,0.0,0.0,0.0,False
