hour,factor,energy_kwh,power_kw,is_peak
0,0.0,0.0,0.0,False
1,0.0,0.0,0.0,False
2,0.0,0.0,0.0,False
3,0.0,0.0,0.0,False
4,0.0,0.0,0.0,False
5,0.0,0.0,0.0,False
6,0.0,0.0,0.0,False
7,0.0,0.0,0.0,False
8,0.0,0.0,0.0,False
9,0.0,0.0,0.0,False
10,0.004286694101508916,1.5663580246913578,1.5663580246913578,False
11,0.01577503429355281,5.764197530864196,5.764197530864196,False
12,0.032407407407407406,11.841666666666665,11.841666666666665,False
13,0.05212620027434842,19.046913580246912,19.046913580246912,False
14,0.07287379972565158,26.628086419753085,26.628086419753085,False
15,0.09259259259259259,33.83333333333333,33.83333333333333,False
16,0.10922496570644719,39.9108024691358,39.9108024691358,False
17,0.12071330589849108,44.108641975308636,44.108641975308636,False
18,0.125,45.675,45.675,True
19,0.125,45.675,45.675,True
20,0.125,45.675,45.675,True
21,0.125,45.675,45.675,True
22,0.0,0.0,0.0,False
23,0.0,0.0,0.0,False
