day,hour,minute,interval,energy_kwh,power_kw
0,0,0,0,0.1302,0.5209
0,0,15,1,0.1605,0.6421
0,0,30,2,0.1598,0.6392
0,0,45,3,0.1099,0.4397
0,1,0,4,0.0000,0.0000
0,1,15,5,0.0000,0.0000
0,1,30,6,0.0000,0.0000
0,1,45,7,0.0000,0.0000
0,2,0,8,0.0000,0.0000
0,2,15,9,0.0000,0.0000
0,2,30,10,0.0000,0.0000
0,2,45,11,0.0000,0.0000
0,3,0,12,0.0000,0.0000
0,3,15,13,0.0000,0.0000
0,3,30,14,0.0000,0.0000
0,3,45,15,0.0000,0.0000
0,4,0,16,0.0000,0.0000
0,4,15,17,0.0000,0.0000
0,4,30,18,0.0000,0.0000
0,4,45,19,0.0000,0.0000
0,5,0,20,0.0000,0.0000
0,5,15,21,0.0000,0.0000
0,5,30,22,0.0000,0.0000
0,5,45,23,0.0000,0.0000
0,6,0,24,0.1501,0.6006
0,6,15,25,0.1284,0.5137
0,6,30,26,0.1025,0.4099
0,6,45,27,0.1024,0.4096
0,7,0,28,0.3235,1.2941
0,7,15,29,0.2491,0.9963
0,7,30,30,0.2217,0.8866
0,7,45,31,0.2264,0.9055
0,8,0,32,0.6097,2.4390
0,8,15,33,0.7448,2.9792
0,8,30,34,0.6411,2.5645
0,8,45,35,0.3913,1.5653
0,9,0,36,0.9363,3.7451
0,9,15,37,1.2660,5.0640
0,9,30,38,0.9601,3.8405
0,9,45,39,0.9345,3.7378
0,10,0,40,0.8107,3.2427
0,10,15,41,0.9660,3.8639
0,10,30,42,1.3432,5.3728
0,10,45,43,1.0872,4.3488
0,11,0,44,0.8626,3.4505
0,11,15,45,0.7961,3.1845
0,11,30,46,1.0881,4.3523
0,11,45,47,0.8315,3.3260
0,12,0,48,0.6208,2.4830
0,12,15,49,0.6135,2.4541
0,12,30,50,0.6011,2.4044
0,12,45,51,0.7299,2.9197
0,13,0,52,0.5887,2.3547
0,13,15,53,0.7289,2.9155
0,13,30,54,0.7058,2.8233
0,13,45,55,0.9317,3.7268
0,14,0,56,0.9443,3.7773
0,14,15,57,0.9701,3.8803
0,14,30,58,0.9864,3.9457
0,14,45,59,0.8986,3.5945
0,15,0,60,1.1026,4.4106
0,15,15,61,1.1649,4.6598
0,15,30,62,1.0730,4.2918
0,15,45,63,1.2163,4.8652
0,16,0,64,1.4344,5.7375
0,16,15,65,1.3211,5.2844
0,16,30,66,1.3417,5.3668
0,16,45,67,1.7132,6.8529
0,17,0,68,2.1973,8.7892
0,17,15,69,2.3139,9.2558
0,17,30,70,2.0832,8.3330
0,17,45,71,1.9420,7.7679
0,18,0,72,2.3608,9.4432
0,18,15,73,2.4744,9.8977
0,18,30,74,2.4533,9.8132
0,18,45,75,2.4107,9.6430
0,19,0,76,2.6197,10.4789
0,19,15,77,2.7602,11.0408
0,19,30,78,2.4533,9.8131
0,19,45,79,1.8534,7.4137
0,20,0,80,2.8346,11.3384
0,20,15,81,2.1794,8.7174
0,20,30,82,2.1732,8.6930
0,20,45,83,2.2710,9.0840
0,21,0,84,1.3053,5.2213
0,21,15,85,1.7629,7.0516
0,21,30,86,1.9467,7.7870
0,21,45,87,1.8141,7.2563
0,22,0,88,0.8126,3.2505
0,22,15,89,1.0303,4.1214
0,22,30,90,0.7950,3.1799
0,22,45,91,0.7524,3.0096
0,23,0,92,0.3462,1.3848
0,23,15,93,0.2870,1.1482
0,23,30,94,0.3556,1.4225
0,23,45,95,0.2997,1.1988
1,0,0,0,0.1422,0.5689
1,0,15,1,0.1358,0.5434
1,0,30,2,0.1467,0.5867
1,0,45,3,0.1165,0.4661
1,1,0,4,0.0000,0.0000
1,1,15,5,0.0000,0.0000
1,1,30,6,0.0000,0.0000
1,1,45,7,0.0000,0.0000
1,2,0,8,0.0000,0.0000
1,2,15,9,0.0000,0.0000
1,2,30,10,0.0000,0.0000
1,2,45,11,0.0000,0.0000
1,3,0,12,0.0000,0.0000
1,3,15,13,0.0000,0.0000
1,3,30,14,0.0000,0.0000
1,3,45,15,0.0000,0.0000
1,4,0,16,0.0000,0.0000
1,4,15,17,0.0000,0.0000
1,4,30,18,0.0000,0.0000
1,4,45,19,0.0000,0.0000
1,5,0,20,0.0000,0.0000
1,5,15,21,0.0000,0.0000
1,5,30,22,0.0000,0.0000
1,5,45,23,0.0000,0.0000
1,6,0,24,0.1684,0.6735
1,6,15,25,0.1315,0.5260
1,6,30,26,0.0865,0.3461
1,6,45,27,0.1346,0.5382
1,7,0,28,0.2739,1.0955
1,7,15,29,0.3547,1.4188
1,7,30,30,0.3306,1.3223
1,7,45,31,0.1898,0.7593
1,8,0,32,0.4389,1.7554
1,8,15,33,0.6629,2.6518
1,8,30,34,0.5696,2.2785
1,8,45,35,0.6183,2.4730
1,9,0,36,0.9101,3.6403
1,9,15,37,0.7329,2.9315
1,9,30,38,1.0247,4.0990
1,9,45,39,0.9475,3.7902
1,10,0,40,1.1357,4.5428
1,10,15,41,1.1423,4.5691
1,10,30,42,1.0448,4.1792
1,10,45,43,1.0332,4.1328
1,11,0,44,0.8403,3.3611
1,11,15,45,0.9907,3.9627
1,11,30,46,0.9913,3.9651
1,11,45,47,0.7821,3.1283
1,12,0,48,0.7704,3.0815
1,12,15,49,0.5823,2.3294
1,12,30,50,0.5704,2.2817
1,12,45,51,0.8460,3.3841
1,13,0,52,0.8319,3.3277
1,13,15,53,0.7136,2.8544
1,13,30,54,0.6424,2.5697
1,13,45,55,0.6867,2.7468
1,14,0,56,0.7098,2.8393
1,14,15,57,0.7533,3.0132
1,14,30,58,1.0702,4.2806
1,14,45,59,0.8626,3.4505
1,15,0,60,1.1206,4.4825
1,15,15,61,1.1397,4.5589
1,15,30,62,1.6112,6.4446
1,15,45,63,1.3457,5.3828
1,16,0,64,1.4171,5.6684
1,16,15,65,1.6112,6.4448
1,16,30,66,1.5630,6.2521
1,16,45,67,1.4627,5.8509
1,17,0,68,2.5878,10.3514
1,17,15,69,2.1242,8.4968
1,17,30,70,2.2087,8.8350
1,17,45,71,1.4230,5.6921
1,18,0,72,2.5748,10.2992
1,18,15,73,3.4011,13.6045
1,18,30,74,1.5075,6.0298
1,18,45,75,2.2101,8.8405
1,19,0,76,2.4966,9.9864
1,19,15,77,1.9577,7.8308
1,19,30,78,2.2920,9.1679
1,19,45,79,2.6465,10.5860
1,20,0,80,2.3238,9.2952
1,20,15,81,2.4879,9.9515
1,20,30,82,2.6927,10.7709
1,20,45,83,3.3458,13.3833
1,21,0,84,1.8694,7.4775
1,21,15,85,1.6078,6.4313
1,21,30,86,2.5128,10.0513
1,21,45,87,1.8674,7.4696
1,22,0,88,0.8272,3.3090
1,22,15,89,0.9537,3.8148
1,22,30,90,0.7982,3.1929
1,22,45,91,0.7974,3.1897
1,23,0,92,0.3185,1.2741
1,23,15,93,0.3053,1.2213
1,23,30,94,0.3295,1.3180
1,23,45,95,0.3652,1.4606
2,0,0,0,0.1593,0.6372
2,0,15,1,0.1261,0.5045
2,0,30,2,0.1438,0.5754
2,0,45,3,0.1536,0.6143
2,1,0,4,0.0000,0.0000
2,1,15,5,0.0000,0.0000
2,1,30,6,0.0000,0.0000
2,1,45,7,0.0000,0.0000
2,2,0,8,0.0000,0.0000
2,2,15,9,0.0000,0.0000
2,2,30,10,0.0000,0.0000
2,2,45,11,0.0000,0.0000
2,3,0,12,0.0000,0.0000
2,3,15,13,0.0000,0.0000
2,3,30,14,0.0000,0.0000
2,3,45,15,0.0000,0.0000
2,4,0,16,0.0000,0.0000
2,4,15,17,0.0000,0.0000
2,4,30,18,0.0000,0.0000
2,4,45,19,0.0000,0.0000
2,5,0,20,0.0000,0.0000
2,5,15,21,0.0000,0.0000
2,5,30,22,0.0000,0.0000
2,5,45,23,0.0000,0.0000
2,6,0,24,0.1608,0.6431
2,6,15,25,0.1526,0.6103
2,6,30,26,0.1236,0.4943
2,6,45,27,0.1734,0.6938
2,7,0,28,0.3128,1.2510
2,7,15,29,0.2574,1.0297
2,7,30,30,0.2783,1.1131
2,7,45,31,0.2174,0.8697
2,8,0,32,0.6029,2.4117
2,8,15,33,0.6704,2.6816
2,8,30,34,0.5201,2.0804
2,8,45,35,0.4966,1.9863
2,9,0,36,0.8013,3.2054
2,9,15,37,0.9741,3.8963
2,9,30,38,1.0609,4.2435
2,9,45,39,0.7989,3.1955
2,10,0,40,1.0498,4.1992
2,10,15,41,1.1157,4.4628
2,10,30,42,1.1589,4.6357
2,10,45,43,1.0256,4.1025
2,11,0,44,0.8256,3.3024
2,11,15,45,1.0304,4.1214
2,11,30,46,0.9986,3.9943
2,11,45,47,0.9935,3.9740
2,12,0,48,0.6021,2.4084
2,12,15,49,0.4923,1.9692
2,12,30,50,0.7876,3.1505
2,12,45,51,0.5835,2.3342
2,13,0,52,0.7341,2.9364
2,13,15,53,0.7593,3.0373
2,13,30,54,1.0279,4.1115
2,13,45,55,0.6259,2.5036
2,14,0,56,0.9640,3.8561
2,14,15,57,0.7747,3.0989
2,14,30,58,1.1265,4.5058
2,14,45,59,0.7847,3.1386
2,15,0,60,0.9556,3.8224
2,15,15,61,1.2830,5.1320
2,15,30,62,1.0048,4.0194
2,15,45,63,1.2053,4.8212
2,16,0,64,1.1205,4.4821
2,16,15,65,1.5810,6.3240
2,16,30,66,1.6666,6.6663
2,16,45,67,1.3120,5.2481
2,17,0,68,2.4466,9.7862
2,17,15,69,2.0882,8.3528
2,17,30,70,1.9719,7.8878
2,17,45,71,1.8738,7.4954
2,18,0,72,2.7283,10.9133
2,18,15,73,2.5300,10.1202
2,18,30,74,2.8067,11.2266
2,18,45,75,2.8179,11.2717
2,19,0,76,2.6984,10.7935
2,19,15,77,2.6837,10.7346
2,19,30,78,2.6936,10.7745
2,19,45,79,2.6975,10.7900
2,20,0,80,2.6063,10.4254
2,20,15,81,2.0083,8.0334
2,20,30,82,2.7865,11.1461
2,20,45,83,2.3334,9.3335
2,21,0,84,1.8678,7.4711
2,21,15,85,1.3148,5.2591
2,21,30,86,2.1536,8.6143
2,21,45,87,1.2448,4.9791
2,22,0,88,0.8490,3.3958
2,22,15,89,0.8447,3.3790
2,22,30,90,0.9225,3.6898
2,22,45,91,0.6971,2.7882
2,23,0,92,0.3264,1.3056
2,23,15,93,0.2626,1.0503
2,23,30,94,0.3537,1.4147
2,23,45,95,0.2411,0.9644
3,0,0,0,0.1886,0.7545
3,0,15,1,0.1633,0.6531
3,0,30,2,0.1766,0.7064
3,0,45,3,0.1574,0.6295
3,1,0,4,0.0000,0.0000
3,1,15,5,0.0000,0.0000
3,1,30,6,0.0000,0.0000
3,1,45,7,0.0000,0.0000
3,2,0,8,0.0000,0.0000
3,2,15,9,0.0000,0.0000
3,2,30,10,0.0000,0.0000
3,2,45,11,0.0000,0.0000
3,3,0,12,0.0000,0.0000
3,3,15,13,0.0000,0.0000
3,3,30,14,0.0000,0.0000
3,3,45,15,0.0000,0.0000
3,4,0,16,0.0000,0.0000
3,4,15,17,0.0000,0.0000
3,4,30,18,0.0000,0.0000
3,4,45,19,0.0000,0.0000
3,5,0,20,0.0000,0.0000
3,5,15,21,0.0000,0.0000
3,5,30,22,0.0000,0.0000
3,5,45,23,0.0000,0.0000
3,6,0,24,0.1275,0.5099
3,6,15,25,0.1413,0.5652
3,6,30,26,0.1691,0.6762
3,6,45,27,0.1441,0.5763
3,7,0,28,0.2756,1.1023
3,7,15,29,0.3755,1.5020
3,7,30,30,0.3143,1.2572
3,7,45,31,0.3187,1.2749
3,8,0,32,0.6412,2.5648
3,8,15,33,0.7897,3.1588
3,8,30,34,0.6605,2.6419
3,8,45,35,0.6200,2.4798
3,9,0,36,1.2905,5.1620
3,9,15,37,1.0441,4.1764
3,9,30,38,0.8431,3.3722
3,9,45,39,0.5874,2.3496
3,10,0,40,0.9501,3.8003
3,10,15,41,1.1759,4.7038
3,10,30,42,1.1380,4.5521
3,10,45,43,1.0794,4.3175
3,11,0,44,0.7288,2.9150
3,11,15,45,1.0011,4.0046
3,11,30,46,0.7502,3.0009
3,11,45,47,0.9814,3.9256
3,12,0,48,0.4376,1.7505
3,12,15,49,0.6399,2.5597
3,12,30,50,0.5696,2.2785
3,12,45,51,0.7468,2.9874
3,13,0,52,0.7412,2.9649
3,13,15,53,0.7322,2.9289
3,13,30,54,0.7960,3.1840
3,13,45,55,0.8064,3.2255
3,14,0,56,0.8987,3.5950
3,14,15,57,0.7108,2.8433
3,14,30,58,0.7126,2.8505
3,14,45,59,0.7581,3.0324
3,15,0,60,1.3736,5.4944
3,15,15,61,1.5389,6.1556
3,15,30,62,1.2418,4.9672
3,15,45,63,1.0591,4.2364
3,16,0,64,1.4059,5.6236
3,16,15,65,1.5988,6.3951
3,16,30,66,1.4720,5.8881
3,16,45,67,1.4620,5.8480
3,17,0,68,2.4558,9.8231
3,17,15,69,1.6893,6.7571
3,17,30,70,2.4764,9.9056
3,17,45,71,1.9004,7.6017
3,18,0,72,2.8117,11.2470
3,18,15,73,2.6109,10.4436
3,18,30,74,3.1281,12.5125
3,18,45,75,2.9851,11.9402
3,19,0,76,3.2918,13.1671
3,19,15,77,3.4906,13.9624
3,19,30,78,2.5348,10.1392
3,19,45,79,2.6484,10.5935
3,20,0,80,1.5895,6.3581
3,20,15,81,2.8422,11.3687
3,20,30,82,2.3393,9.3571
3,20,45,83,2.3732,9.4926
3,21,0,84,1.6161,6.4645
3,21,15,85,1.9089,7.6357
3,21,30,86,1.4444,5.7777
3,21,45,87,1.6738,6.6951
3,22,0,88,0.8438,3.3754
3,22,15,89,0.6689,2.6755
3,22,30,90,0.9333,3.7332
3,22,45,91,0.8383,3.3532
3,23,0,92,0.3655,1.4618
3,23,15,93,0.2105,0.8420
3,23,30,94,0.3288,1.3152
3,23,45,95,0.2383,0.9533
4,0,0,0,0.1305,0.5218
4,0,15,1,0.1368,0.5471
4,0,30,2,0.1664,0.6656
4,0,45,3,0.1319,0.5277
4,1,0,4,0.0000,0.0000
4,1,15,5,0.0000,0.0000
4,1,30,6,0.0000,0.0000
4,1,45,7,0.0000,0.0000
4,2,0,8,0.0000,0.0000
4,2,15,9,0.0000,0.0000
4,2,30,10,0.0000,0.0000
4,2,45,11,0.0000,0.0000
4,3,0,12,0.0000,0.0000
4,3,15,13,0.0000,0.0000
4,3,30,14,0.0000,0.0000
4,3,45,15,0.0000,0.0000
4,4,0,16,0.0000,0.0000
4,4,15,17,0.0000,0.0000
4,4,30,18,0.0000,0.0000
4,4,45,19,0.0000,0.0000
4,5,0,20,0.0000,0.0000
4,5,15,21,0.0000,0.0000
4,5,30,22,0.0000,0.0000
4,5,45,23,0.0000,0.0000
4,6,0,24,0.1806,0.7226
4,6,15,25,0.1263,0.5052
4,6,30,26,0.1601,0.6406
4,6,45,27,0.1616,0.6463
4,7,0,28,0.3048,1.2193
4,7,15,29,0.2577,1.0309
4,7,30,30,0.2818,1.1271
4,7,45,31,0.2364,0.9454
4,8,0,32,0.5732,2.2927
4,8,15,33,0.3975,1.5899
4,8,30,34,0.6675,2.6702
4,8,45,35,0.5656,2.2625
4,9,0,36,0.8988,3.5953
4,9,15,37,0.8833,3.5330
4,9,30,38,0.8397,3.3587
4,9,45,39,0.8153,3.2613
4,10,0,40,1.1364,4.5458
4,10,15,41,1.0975,4.3899
4,10,30,42,1.1212,4.4849
4,10,45,43,1.0518,4.2070
4,11,0,44,0.7799,3.1194
4,11,15,45,0.9689,3.8756
4,11,30,46,0.9341,3.7365
4,11,45,47,0.8844,3.5375
4,12,0,48,0.6165,2.4662
4,12,15,49,0.5988,2.3951
4,12,30,50,0.7640,3.0561
4,12,45,51,0.6269,2.5077
4,13,0,52,0.6494,2.5974
4,13,15,53,0.8355,3.3418
4,13,30,54,0.6693,2.6771
4,13,45,55,0.5641,2.2566
4,14,0,56,0.7283,2.9133
4,14,15,57,0.9678,3.8712
4,14,30,58,1.0018,4.0073
4,14,45,59,1.0785,4.3139
4,15,0,60,1.1407,4.5629
4,15,15,61,0.9636,3.8545
4,15,30,62,1.2425,4.9700
4,15,45,63,1.0491,4.1965
4,16,0,64,1.5685,6.2739
4,16,15,65,1.8235,7.2942
4,16,30,66,1.5227,6.0908
4,16,45,67,1.1490,4.5960
4,17,0,68,2.2877,9.1509
4,17,15,69,2.1426,8.5705
4,17,30,70,2.4362,9.7449
4,17,45,71,2.8923,11.5691
4,18,0,72,2.3337,9.3348
4,18,15,73,2.6657,10.6628
4,18,30,74,3.0897,12.3590
4,18,45,75,2.8946,11.5782
4,19,0,76,2.2145,8.8579
4,19,15,77,3.0381,12.1525
4,19,30,78,2.6706,10.6823
4,19,45,79,2.7110,10.8440
4,20,0,80,2.2000,8.8000
4,20,15,81,2.0109,8.0435
4,20,30,82,2.1195,8.4780
4,20,45,83,2.7202,10.8808
4,21,0,84,1.4329,5.7316
4,21,15,85,2.2881,9.1524
4,21,30,86,1.7503,7.0012
4,21,45,87,1.8726,7.4905
4,22,0,88,0.8880,3.5519
4,22,15,89,0.7285,2.9139
4,22,30,90,0.8452,3.3807
4,22,45,91,0.8698,3.4790
4,23,0,92,0.3189,1.2755
4,23,15,93,0.2745,1.0981
4,23,30,94,0.2415,0.9661
4,23,45,95,0.2902,1.1610
5,0,0,0,0.2096,0.8384
5,0,15,1,0.1116,0.4464
5,0,30,2,0.1459,0.5837
5,0,45,3,0.1381,0.5524
5,1,0,4,0.0000,0.0000
5,1,15,5,0.0000,0.0000
5,1,30,6,0.0000,0.0000
5,1,45,7,0.0000,0.0000
5,2,0,8,0.0000,0.0000
5,2,15,9,0.0000,0.0000
5,2,30,10,0.0000,0.0000
5,2,45,11,0.0000,0.0000
5,3,0,12,0.0000,0.0000
5,3,15,13,0.0000,0.0000
5,3,30,14,0.0000,0.0000
5,3,45,15,0.0000,0.0000
