day,hour,minute,interval,energy_kwh,power_kw
0,0,0,0,0.2519,1.0075
0,0,15,1,0.3024,1.2096
0,0,30,2,0.3080,1.2321
0,0,45,3,0.2790,1.1162
0,1,0,4,0.1512,0.6049
0,1,15,5,0.1614,0.6455
0,1,30,6,0.1208,0.4831
0,1,45,7,0.1147,0.4586
0,2,0,8,0.1746,0.6982
0,2,15,9,0.1649,0.6597
0,2,30,10,0.1755,0.7022
0,2,45,11,0.1488,0.5950
0,3,0,12,0.0000,0.0000
0,3,15,13,0.0000,0.0000
0,3,30,14,0.0000,0.0000
0,3,45,15,0.0000,0.0000
0,4,0,16,0.0000,0.0000
0,4,15,17,0.0000,0.0000
0,4,30,18,0.0000,0.0000
0,4,45,19,0.0000,0.0000
0,5,0,20,0.1780,0.7121
0,5,15,21,0.1455,0.5819
0,5,30,22,0.1775,0.7099
0,5,45,23,0.1475,0.5899
0,6,0,24,0.3940,1.5759
0,6,15,25,0.3936,1.5742
0,6,30,26,0.5233,2.0931
0,6,45,27,0.3849,1.5396
0,7,0,28,1.2442,4.9767
0,7,15,29,1.0315,4.1258
0,7,30,30,1.0577,4.2306
0,7,45,31,0.9315,3.7259
0,8,0,32,2.2073,8.8293
0,8,15,33,2.3657,9.4626
0,8,30,34,2.3058,9.2234
0,8,45,35,1.9915,7.9661
0,9,0,36,2.8974,11.5894
0,9,15,37,2.2130,8.8519
0,9,30,38,2.9891,11.9562
0,9,45,39,2.6737,10.6949
0,10,0,40,2.5233,10.0934
0,10,15,41,2.4921,9.9683
0,10,30,42,2.0359,8.1435
0,10,45,43,2.6912,10.7649
0,11,0,44,2.4371,9.7484
0,11,15,45,2.0862,8.3448
0,11,30,46,2.2985,9.1939
0,11,45,47,2.0684,8.2736
0,12,0,48,1.2473,4.9893
0,12,15,49,1.6042,6.4170
0,12,30,50,1.4024,5.6096
0,12,45,51,1.2744,5.0974
0,13,0,52,1.4288,5.7153
0,13,15,53,2.3396,9.3584
0,13,30,54,1.8287,7.3147
0,13,45,55,1.3859,5.5438
0,14,0,56,2.1855,8.7422
0,14,15,57,2.1362,8.5449
0,14,30,58,2.1821,8.7286
0,14,45,59,2.3012,9.2047
0,15,0,60,1.8759,7.5037
0,15,15,61,1.6666,6.6664
0,15,30,62,2.3482,9.3927
0,15,45,63,2.4977,9.9907
0,16,0,64,3.6143,14.4572
0,16,15,65,2.9294,11.7175
0,16,30,66,2.8138,11.2553
0,16,45,67,3.4152,13.6608
0,17,0,68,3.8737,15.4948
0,17,15,69,3.3890,13.5559
0,17,30,70,3.7940,15.1760
0,17,45,71,3.0115,12.0461
0,18,0,72,3.5418,14.1673
0,18,15,73,4.0164,16.0655
0,18,30,74,3.6328,14.5314
0,18,45,75,4.2346,16.9383
0,19,0,76,3.6864,14.7456
0,19,15,77,3.4650,13.8599
0,19,30,78,2.4249,9.6997
0,19,45,79,3.5667,14.2669
0,20,0,80,2.4717,9.8869
0,20,15,81,2.6645,10.6579
0,20,30,82,3.0459,12.1836
0,20,45,83,2.5320,10.1280
0,21,0,84,2.1529,8.6117
0,21,15,85,1.9953,7.9812
0,21,30,86,1.9433,7.7733
0,21,45,87,1.7750,7.1001
0,22,0,88,1.0249,4.0998
0,22,15,89,1.3144,5.2574
0,22,30,90,1.2499,4.9998
0,22,45,91,0.9717,3.8868
0,23,0,92,0.5234,2.0938
0,23,15,93,0.4516,1.8063
0,23,30,94,0.5888,2.3553
0,23,45,95,0.4489,1.7956
1,0,0,0,0.3719,1.4877
1,0,15,1,0.2806,1.1226
1,0,30,2,0.3413,1.3651
1,0,45,3,0.3777,1.5106
1,1,0,4,0.1224,0.4897
1,1,15,5,0.1504,0.6017
1,1,30,6,0.1444,0.5778
1,1,45,7,0.1509,0.6038
1,2,0,8,0.1512,0.6049
1,2,15,9,0.1181,0.4725
1,2,30,10,0.1723,0.6893
1,2,45,11,0.1435,0.5739
1,3,0,12,0.0000,0.0000
1,3,15,13,0.0000,0.0000
1,3,30,14,0.0000,0.0000
1,3,45,15,0.0000,0.0000
1,4,0,16,0.0000,0.0000
1,4,15,17,0.0000,0.0000
1,4,30,18,0.0000,0.0000
1,4,45,19,0.0000,0.0000
1,5,0,20,0.1818,0.7273
1,5,15,21,0.1347,0.5389
1,5,30,22,0.1789,0.7155
1,5,45,23,0.1183,0.4733
1,6,0,24,0.6111,2.4444
1,6,15,25,0.4807,1.9228
1,6,30,26,0.3848,1.5392
1,6,45,27,0.3988,1.5953
1,7,0,28,1.0434,4.1736
1,7,15,29,1.4588,5.8350
